ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
2263,50yrs 11 months,30,29.2,315901,4,0.28,Bachelors,25.84,0,0,0,1,0
2264,39yrs,20,12.3,598048,1,0.09,12th or less,7.51,0,0,1,0,1
2265,25yrs 10 months,4,20.31,960264,3,3.5,Bachelors,6.95,0,1,1,0,1
2266,35yrs,n/a,18.55,235750,0,0.48,Bachelors,21.66,1,1,0,1,1
2267,46,27,31.68,868665,3,0.75,Post Graduate,7.85,0,1,0,0,1
2268,55,37,29.2,249486,2,0.45,Bachelors,16.51,1,1,0,1,0
2269,65yrs 3 months,,7.61,414483,0,0.05,Bachelors,3.61,1,1,0,0,1
2270,54yrs,35,27.64,108618,2,0.24,Bachelors,10.87,1,1,1,1,1
2271,36,15,47.08,746997,5,1.19,Post Graduate,55.82,1,0,1,1,1
2272,36,15,11.89,185941,0,0.32,12th or less,4.73,1,0,0,0,1
2273,55,33,41.23,366588,5,0.88,Bachelors,42.63,0,0,1,0,0
2274,34,12,9.03,645919,3,0.27,12th or less,10.96,1,1,0,1,1
2275,48,28,17.84,181182,1,0.58,Bachelors,9.44,0,1,1,0,1
2276,54,33,Rs 20 lacs,665500,3,0.05,12th or less,0.0,0,1,1,1,0
2277,61,41,14.32,606114,5,0.1,Post Graduate,2.89,1,1,1,1,1
2278,64yrs 8 months,46,31.26,166112,0,0.15,Bachelors,19.72,0,0,0,0,1
2279,37,17,14.53,652075,2,0.22,12th or less,13.64,1,1,1,1,1
2280,28yrs 9 months,,25.38,663824,1,0.63,12th or less,12.43,1,1,0,1,1
2281,46,28,34.54,575742,5,1.04,12th or less,34.44,1,1,1,0,0
2282,63,44,42.4,674809,4,0.43,Post Graduate,16.93,1,1,0,1,1
2283,43,21,Rs 12 lacs,832573,4,0.05,Bachelors,0.0,0,0,0,1,0
2284,28yrs 7 months,10,53.9,690912,3,1.32,Bachelors,37.45,1,0,1,0,0
2285,21,,45.18,699948,1,5.39,12th or less,48.98,1,0,1,1,1
2286,39yrs,19,24.99,123848,5,0.15,12th or less,11.52,1,1,1,0,0
2287,24yrs 9 months,n/a,27.28,975623,4,0.27,Bachelors,10.08,1,1,1,0,1
2288,47yrs 11 months,27,48.1,685904,1,1.38,Bachelors,7.66,1,0,0,0,1
2289,33,13,unemployed,847519,1,0.05,12th or less,0.0,0,0,1,0,1
2290,38,20,65.92,827114,5,0.33,Bachelors,77.04,1,0,0,0,1
2291,25,3,11.93,586864,5,0.13,Bachelors,10.84,1,1,0,1,0
2292,64yrs,43,37.84,313463,2,0.79,Bachelors,43.14,1,1,0,0,1
2293,38yrs,18,19.07,313411,3,0.45,Bachelors,15.69,1,0,0,1,0
2294,41yrs,21,10.3,169777,5,0.1,Post Graduate,10.28,1,0,1,1,1
2295,21yrs,1,12.54,874100,1,0.25,12th or less,7.51,1,0,0,0,0
2296,41yrs,21,15.29,947971,3,0.11,Post Graduate,10.51,1,1,0,1,0
2297,47,27,30.04,694194,5,0.41,12th or less,36.63,1,1,1,1,0
2298,52yrs 2 months,34,34.36,332387,0,0.33,Bachelors,35.8,1,1,1,1,1
2299,40yrs 4 months,20,n/a,244378,0,0.05,Bachelors,0.0,0,0,1,1,0
2300,21yrs,0,11.75,566317,1,0.32,12th or less,12.05,1,0,1,1,0
2301,40,21,45.29,925426,4,0.73,12th or less,40.11,1,0,0,1,1
2302,50yrs,30,45.4,490736,3,0.31,Post Graduate,9.19,1,0,0,1,1
2303,24yrs 2 months,3,21.96,719706,4,0.56,12th or less,18.79,0,0,1,0,0
2304,38,16,20.19,219026,2,0.32,Post Graduate,22.92,1,0,0,1,0
2305,27yrs,6,25.42,360412,0,0.16,Post Graduate,24.54,1,1,0,0,0
2306,36yrs 1 months,14,7.07,608073,3,0.05,Post Graduate,7.54,1,0,1,1,1
2307,38,19,42.42,920835,1,1.37,Bachelors,21.35,1,1,1,0,0
2308,53yrs 9 months,33,28.3,560653,0,0.22,Bachelors,23.35,0,0,1,1,0
2309,48yrs 7 months,30,n/a,866410,0,0.05,Bachelors,0.0,0,0,0,1,0
2310,56,34,12.88,947333,3,0.2,Post Graduate,8.82,1,1,1,0,1
2311,38yrs,19,37.93,591770,4,1.2,Bachelors,6.97,1,1,1,1,0
2312,47,28,22.95,842279,0,0.12,Post Graduate,9.16,1,1,0,0,0
2313,43yrs,22,23.25,327054,2,0.38,12th or less,26.31,1,0,0,0,1
2314,54yrs,36,11.41,987184,2,0.3,Post Graduate,4.32,1,0,1,1,0
2315,31yrs,12,26.09,977179,5,0.66,Bachelors,29.57,0,0,1,0,0
2316,57,38,41.47,163314,2,1.34,Bachelors,14.14,1,0,1,1,0
2317,63,41,32.31,860642,1,0.7,Post Graduate,20.14,0,1,0,1,1
2318,26yrs,4,24.58,748483,1,0.55,12th or less,25.54,0,1,1,0,0
2319,42,23,12.89,520674,5,0.41,Bachelors,11.28,0,0,0,1,1
2320,54,33,19.87,184727,1,0.25,Post Graduate,12.56,1,1,1,1,1
2321,53,33,20.94,128158,4,0.59,12th or less,16.12,1,1,0,0,0
2322,64yrs 9 months,42,16.08,298983,0,0.34,Post Graduate,10.03,1,1,0,1,1
2323,51,33,19.99,422825,4,0.13,Post Graduate,20.59,1,0,0,1,1
2324,54yrs 2 months,32,unemployed,309359,3,0.05,Post Graduate,0.0,1,1,1,1,0
2325,61yrs,40,18.04,713991,0,0.47,12th or less,16.28,1,1,1,1,0
2326,31yrs,12,8.73,822248,2,0.07,Bachelors,10.08,1,1,1,0,0
2327,52yrs,33,11.08,779341,2,0.35,12th or less,11.23,1,0,0,1,0
2328,30,8,Rs 24 lacs,299172,5,0.05,Bachelors,0.0,1,0,0,0,1
2329,26,8,10.68,533668,0,0.31,Bachelors,3.38,1,1,1,0,0
2330,40,21,3.31,378627,3,0.09,12th or less,3.35,1,0,0,0,0
2331,47yrs,26,Rs 32 lacs,470877,2,0.05,12th or less,0.0,0,1,0,1,0
2332,33yrs 3 months,13,34.6,173286,3,0.95,12th or less,7.4,0,0,0,1,0
2333,25yrs 3 months,5,30.44,788489,4,0.77,Bachelors,11.68,1,1,0,1,1
2334,63yrs,45,45.09,958898,3,0.3,12th or less,13.62,1,0,0,0,0
2335,22,4,23.87,153321,4,0.15,12th or less,30.85,0,0,1,1,0
2336,47,29,11.56,909928,5,0.22,Bachelors,17.849999999999998,0,1,1,1,1
2337,59,38,55.37,417520,2,1.47,Post Graduate,23.87,1,1,0,1,0
2338,22yrs,2,20.59,557595,5,0.42,Bachelors,18.04,1,1,1,1,0
2339,37,15,unemployed,176961,1,0.05,12th or less,0.0,0,0,1,1,1
2340,43,23,44.25,880055,5,1.45,12th or less,21.78,1,0,0,1,1
2341,31,n/a,11.95,125567,2,0.19,Bachelors,12.46,1,1,0,0,0
2342,55,37,26.97,928363,3,0.47,Bachelors,7.25,1,1,0,0,0
2343,44,,35.07,646516,0,0.95,12th or less,13.63,1,1,1,0,1
2344,36yrs,18,48.68,365557,3,0.38,Bachelors,49.66,1,0,1,1,0
2345,27yrs,5,17.79,921246,3,0.3,Bachelors,20.61,1,n/a,0,1,1
2346,31yrs,13,n/a,303354,3,0.05,12th or less,0.0,1,1,0,0,0
2347,56yrs 3 months,34,13.79,509463,4,0.39,12th or less,10.7,1,1,0,1,1
2348,28,7,9.12,684772,4,0.19,Bachelors,2.2,1,0,1,0,0
2349,47yrs 6 months,28,unemployed,515046,0,0.05,Bachelors,0.0,1,1,0,0,1
2350,64yrs 5 months,46,10.85,252914,3,0.33,Bachelors,7.06,1,1,1,1,0
2351,47yrs,25,28.45,461180,3,0.55,Bachelors,18.19,1,0,0,0,1
2352,27yrs 3 months,5,15.83,113283,5,0.33,Post Graduate,19.01,0,0,0,0,0
2353,23,1,Rs 53 lacs,200189,0,0.05,12th or less,0.0,1,1,1,1,1
2354,26yrs,4,29.87,314141,4,0.61,Post Graduate,23.33,1,0,0,1,0
2355,38,17,31.96,947532,1,0.93,Post Graduate,6.66,0,1,1,1,0
2356,21yrs,1,30.3,306190,1,0.18,12th or less,20.15,1,1,0,1,1
2357,23,5,15.84,481497,4,0.3,Bachelors,4.91,1,0,0,0,0
2358,23,3,35.27,978690,10,0.91,12th or less,10.24,1,0,0,1,1
2359,41yrs,22,17.84,691649,5,0.57,Post Graduate,20.25,0,1,1,1,0
2360,22yrs 10 months,2,8.65,780929,3,0.12,12th or less,9.96,1,0,1,0,0
2361,59yrs,41,unemployed,185267,2,0.05,12th or less,0.0,1,0,0,0,0
2362,29yrs 5 months,n/a,14.61,352197,3,0.35,12th or less,8.96,1,n/a,0,0,1
2363,31,12,13.02,750746,1,0.21,Bachelors,14.2,1,1,1,0,0
2364,60yrs,41,unemployed,299647,2,0.05,Bachelors,0.0,1,n/a,0,0,1
2365,31yrs,13,n/a,225487,3,0.05,12th or less,0.0,1,0,0,0,1
2366,34yrs,13,20.91,633706,3,0.45,12th or less,7.16,0,1,1,0,0
2367,62,42,18.4,543594,4,0.36,Bachelors,4.41,1,0,1,1,1
2368,51yrs 3 months,32,40.15,866136,2,1.3,Post Graduate,33.92,0,0,1,1,1
2369,21yrs 5 months,,Rs 20 lacs,169033,3,0.05,Bachelors,0.0,0,n/a,1,1,0
2370,61,39,32.04,344023,4,0.33,Post Graduate,27.94,0,1,0,0,0
2371,41yrs 3 months,22,11.72,940859,1,0.31,Post Graduate,8.0,1,1,1,0,0
2372,38yrs,17,43.3,864411,2,1.1,Post Graduate,18.22,1,0,1,1,1
2373,39yrs 6 months,17,10.04,157819,1,0.14,Bachelors,9.02,1,0,0,1,0
2374,64yrs 9 months,46,44.76,871760,1,1.03,Bachelors,41.84,1,1,1,0,1
2375,62yrs 9 months,41,28.93,284853,5,0.79,12th or less,29.17,1,0,1,1,0
2376,28yrs 11 months,6,18.48,935773,1,0.37,Post Graduate,11.96,1,0,0,1,1
2377,25yrs,3,11.36,556376,5,0.27,12th or less,2.0,0,0,1,1,1
2378,65,43,28.35,819359,1,0.88,12th or less,31.97,0,0,1,1,0
2379,31yrs 6 months,9,51.29,634621,2,1.52,Post Graduate,64.21,0,0,0,0,1
2380,39yrs 8 months,20,27.5,831892,4,0.12,Bachelors,26.06,1,1,0,1,0
2381,21yrs,2,34.95,768255,1,1.0,Bachelors,30.4,1,1,0,1,1
2382,21yrs,1,60.36,369352,5,1.91,12th or less,66.25,0,0,0,1,0
2383,39yrs,17,37.98,725043,0,0.37,12th or less,13.81,1,1,1,0,1
2384,32,13,15.05,270367,5,0.11,Post Graduate,2.7,0,1,0,0,0
2385,53,31,13.47,242633,2,0.06,12th or less,16.7,1,1,0,0,1
2386,46yrs,24,29.12,442401,1,0.9,12th or less,17.58,1,0,1,0,0
2387,60yrs,,43.73,650054,5,1.08,Post Graduate,53.8,1,1,0,0,1
2388,33yrs 1 months,13,28.14,833021,5,0.78,12th or less,20.48,1,1,0,1,0
2389,41yrs,19,14.79,357077,4,0.43,Post Graduate,17.62,0,1,0,0,1
2390,21yrs,1,35.87,399534,4,0.69,12th or less,40.85,0,1,1,0,0
2391,32yrs,12,36.68,243315,3,0.83,Post Graduate,35.5,1,0,1,0,0
2392,52yrs,32,Rs 8 lacs,983006,0,0.05,Post Graduate,0.0,1,0,0,1,1
2393,63yrs,43,26.23,408463,2,2.05,Post Graduate,32.87,1,1,0,1,0
2394,37yrs,18,19.12,142609,3,0.37,Bachelors,4.2,1,1,0,1,1
2395,45yrs,25,71.31,710144,1,1.63,12th or less,155.261,1,1,0,1,1
2396,63yrs 2 months,45,24.89,372257,1,0.8,Bachelors,18.97,1,1,0,0,0
2397,55yrs,36,8.28,841572,1,0.13,12th or less,6.45,1,1,1,0,1
2398,57,35,12.58,441423,3,0.41,Bachelors,13.04,0,0,0,0,1
2399,46yrs 10 months,26,224.65,616617,5,5.29,12th or less,122.0,1,0,0,1,1
2400,32yrs,14,31.59,393782,5,1.0,Bachelors,28.85,1,1,0,0,0
2401,60yrs 3 months,42,15.4,258525,5,0.47,12th or less,12.37,0,0,1,1,1
2402,33yrs 2 months,15,24.26,378595,5,0.65,Bachelors,23.16,1,0,1,0,0
2403,40yrs,18,unemployed,868904,3,0.05,12th or less,0.0,1,0,0,1,1
2404,61yrs,41,48.93,945661,5,0.24,Bachelors,22.36,1,1,1,1,1
2405,50,n/a,Rs 20 lacs,196925,5,0.05,Post Graduate,0.0,1,0,1,1,1
2406,49yrs 10 months,29,10.45,865523,0,0.2,Post Graduate,3.32,1,1,0,1,0
2407,52yrs 7 months,31,102.48,351049,2,1.11,12th or less,59.35,1,0,0,1,1
2408,53yrs,32,24.85,593228,2,0.71,12th or less,11.764,1,0,0,0,0
2409,26yrs 8 months,4,19.05,869672,2,0.5,12th or less,7.41,1,1,1,0,1
2410,35yrs,13,36.62,865444,0,0.88,Bachelors,45.13,0,0,0,0,0
2411,24,4,46.47,887418,3,0.28,12th or less,15.39,1,1,1,1,0
2412,51,32,36.05,815211,1,0.25,Bachelors,39.32,1,1,1,1,1
2413,35yrs,15,11.27,640758,3,0.1,Bachelors,10.49,1,1,1,0,0
2414,53,31,31.05,730173,5,0.41,Bachelors,22.41,1,0,1,1,1
2415,40yrs 8 months,20,6.74,264632,5,0.13,12th or less,6.59,0,0,0,1,0
2416,53,33,35.77,543495,1,0.88,Post Graduate,27.55,1,0,1,1,0
2417,38yrs,17,45.12,826547,4,1.37,12th or less,30.96,1,0,1,0,1
2418,59,39,n/a,103281,1,0.05,Bachelors,0.0,0,1,0,1,0
2419,30yrs 9 months,11,19.2,564077,3,0.36,12th or less,13.6,0,n/a,0,1,0
2420,23yrs,4,34.8,710712,3,0.24,12th or less,29.31,0,1,1,1,0
2421,54yrs,34,15.25,850369,3,0.25,Bachelors,26.741,1,0,0,1,1
2422,45,27,n/a,890670,1,0.05,Bachelors,0.0,1,0,0,1,0
2423,48yrs,29,n/a,415671,0,0.05,12th or less,0.0,1,0,1,0,0
2424,41yrs,,14.0,268862,5,0.42,Bachelors,13.28,1,0,1,0,0
2425,35yrs 2 months,16,11.59,926683,1,0.29,Post Graduate,11.35,1,0,1,0,1
2426,24yrs 3 months,4,9.74,163081,3,0.06,Bachelors,1.51,0,1,1,1,1
2427,47yrs 7 months,26,unemployed,302059,1,0.05,Post Graduate,0.0,0,0,1,1,0
2428,56yrs,37,13.23,437931,5,0.33,Post Graduate,12.98,1,1,1,1,0
2429,50yrs,28,27.22,787790,5,0.69,Bachelors,24.85,0,1,1,0,1
2430,31yrs,11,10.66,174738,0,0.29,12th or less,11.05,1,0,1,1,0
2431,64yrs,42,43.26,334591,3,0.55,Bachelors,29.75,1,0,0,1,0
2432,45yrs 2 months,n/a,45.75,269382,2,0.93,Bachelors,25.57,1,1,0,1,0
2433,50,28,unemployed,388545,2,0.05,Bachelors,0.0,0,0,0,1,0
2434,55yrs 9 months,36,14.6,958166,0,0.35,Post Graduate,11.43,1,1,0,0,0
2435,48,30,32.0,704338,0,0.34,12th or less,20.0,1,1,1,0,1
2436,50yrs 6 months,30,21.07,545989,1,0.59,Bachelors,20.96,0,0,1,0,1
2437,33yrs,11,26.88,620516,5,0.34,12th or less,29.43,1,1,1,0,1
2438,64,44,9.34,197800,4,0.22,Bachelors,4.36,1,n/a,1,0,1
2439,45yrs,27,30.5,168315,3,0.16,12th or less,26.71,1,1,1,0,1
2440,26yrs,4,50.41,776854,3,0.67,Post Graduate,56.15,1,0,1,0,0
2441,52yrs 6 months,32,36.24,174123,1,1.04,Bachelors,32.46,1,0,0,0,1
2442,30yrs,10,7.22,453820,3,0.16,Bachelors,5.55,1,1,0,0,1
2443,55yrs,35,unemployed,876876,0,0.05,12th or less,0.0,1,0,1,0,1
2444,59,38,28.36,711966,1,0.91,Post Graduate,18.51,1,1,1,1,1
2445,40yrs,22,20.89,227859,2,0.51,Bachelors,15.49,1,0,0,1,0
2446,36yrs 7 months,17,27.89,937671,3,0.23,Bachelors,17.04,0,1,0,0,1
2447,27yrs,,24.99,642414,4,0.4,Post Graduate,20.25,0,1,1,1,0
2448,23,4,11.33,183329,2,0.28,Post Graduate,2.34,1,0,0,1,1
2449,60yrs 1 months,38,25.06,224938,3,0.33,Post Graduate,13.65,0,1,1,1,0
2450,48,29,34.33,756669,2,0.79,12th or less,34.41,1,1,1,0,0
2451,52yrs 10 months,32,46.04,811672,1,0.97,Bachelors,50.95,1,0,1,1,1
2452,60,38,25.47,617732,0,0.57,Post Graduate,12.47,0,1,1,1,1
2453,24yrs,4,22.54,901562,3,0.15,12th or less,27.34,1,1,0,0,1
2454,59yrs,37,47.04,561982,0,1.36,Bachelors,41.6,1,0,1,1,0
2455,35,14,44.07,932071,2,0.23,12th or less,33.62,1,0,0,0,1
2456,65yrs 11 months,45,15.37,924863,0,0.3,12th or less,10.04,0,1,1,1,1
2457,39yrs 3 months,20,29.05,476370,0,0.23,12th or less,9.14,1,0,0,0,1
2458,25,3,17.05,723162,0,0.12,Bachelors,21.56,0,1,1,0,0
2459,50,31,15.06,963134,4,0.17,Bachelors,16.61,1,1,0,1,0
2460,64yrs 2 months,n/a,43.86,940043,5,1.21,Bachelors,35.46,1,0,1,1,1
2461,24yrs,5,17.2,797112,1,0.31,12th or less,5.72,1,0,0,1,1
2462,51,31,14.43,597354,1,0.2,Bachelors,3.57,1,0,0,0,1
2463,48yrs,30,n/a,276314,3,0.05,12th or less,0.0,1,1,1,1,0
2464,43yrs,25,14.02,267537,2,0.22,12th or less,10.54,1,1,1,0,1
2465,49,28,13.49,132714,2,0.27,Bachelors,13.02,1,0,1,1,1
2466,50,32,34.34,449185,12,0.35,Bachelors,17.34,1,0,1,0,1
2467,63,45,12.44,687446,4,0.14,12th or less,6.0,0,1,0,0,1
2468,44,24,28.94,506770,0,0.64,12th or less,15.01,0,1,0,0,0
2469,30yrs,10,unemployed,762679,2,0.05,Bachelors,0.0,0,1,0,1,0
2470,50,30,7.7,197645,3,0.12,Bachelors,3.34,0,0,1,0,0
2471,43yrs 5 months,23,13.36,787375,3,0.16,Post Graduate,6.02,1,0,0,0,1
2472,59yrs,40,20.97,852608,1,0.6,Post Graduate,11.5,1,0,0,1,0
2473,41,22,24.83,281531,0,0.53,12th or less,18.26,1,1,1,0,1
2474,21yrs,0,13.49,545997,0,0.21,12th or less,4.43,1,0,0,1,0
2475,60,39,22.68,242533,1,0.37,Bachelors,27.85,1,1,0,0,1
2476,30,10,30.78,600846,5,0.31,Post Graduate,9.75,1,1,1,0,1
2477,49yrs 10 months,27,17.44,236501,4,0.3,Post Graduate,19.59,0,0,1,1,1
2478,51,30,13.83,128017,12,0.22,12th or less,4.22,1,0,1,1,1
2479,50yrs,30,11.14,201772,2,0.34,Bachelors,3.88,1,0,1,0,1
2480,59,39,5.42,315032,1,0.06,12th or less,3.02,0,0,1,1,0
2481,31,,11.79,782775,5,1.97,Bachelors,9.49,1,1,0,1,1
2482,63,45,9.88,940703,0,0.31,Post Graduate,12.49,0,0,1,0,1
2483,42,20,36.39,756355,5,0.4,12th or less,33.15,1,1,0,0,1
2484,45,23,Rs 18 lacs,645053,3,0.05,12th or less,0.0,1,1,1,0,1
2485,45yrs,27,16.22,905046,2,0.33,12th or less,17.6,1,0,1,0,1
2486,45yrs,26,Rs 22 lacs,375133,0,0.05,Bachelors,0.0,1,n/a,1,0,0
2487,55yrs,36,27.82,882737,4,0.27,Bachelors,32.02,0,1,1,0,1
2488,55yrs 5 months,34,21.82,303037,1,0.48,Bachelors,7.73,1,0,0,0,1
2489,55yrs 10 months,37,27.2,758873,2,0.89,Bachelors,20.69,1,0,0,1,0
2490,64,42,50.02,232762,4,0.5,Bachelors,33.7,1,0,1,0,0
2491,37yrs 2 months,17,14.92,917275,2,0.32,Bachelors,7.38,1,0,0,1,0
2492,29yrs 3 months,10,30.39,439593,5,0.47,Post Graduate,19.78,0,1,1,0,1
2493,31yrs,12,24.97,243647,5,0.45,Bachelors,9.91,1,1,0,0,0
2494,59,38,35.82,188081,0,0.71,12th or less,37.842,1,1,0,0,0
2495,32yrs 2 months,11,41.63,716370,1,0.53,12th or less,45.62,1,1,1,0,0
2496,44,22,24.19,259184,0,0.65,Bachelors,13.16,1,0,0,1,0
2497,47,29,Rs 10 lacs,930164,0,0.05,Post Graduate,0.0,0,1,1,1,0
2498,42yrs,24,10.09,435367,4,0.22,Post Graduate,9.09,0,1,1,1,0
2499,26yrs 3 months,7,unemployed,437878,5,0.05,Post Graduate,0.0,1,0,1,1,1
2500,25yrs,7,9.92,294594,4,0.08,12th or less,6.95,0,1,0,0,0
2501,52yrs 9 months,n/a,15.86,764259,0,0.08,Post Graduate,4.83,1,0,0,1,1
2502,29yrs 11 months,10,13.77,733043,5,0.28,Bachelors,11.31,0,0,1,0,0
2503,51yrs 6 months,32,52.71,295997,0,0.87,Post Graduate,64.59,1,0,1,0,0
2504,36,15,Rs 40 lacs,956335,4,0.05,Post Graduate,0.0,1,1,1,0,1
2505,57yrs,38,28.83,547221,0,1.14,12th or less,19.22,1,1,1,1,1
2506,39yrs,n/a,11.74,262190,3,0.13,12th or less,12.05,1,n/a,0,1,0
2507,44yrs 7 months,24,41.89,453865,12,0.83,12th or less,11.7,1,n/a,0,0,1
2508,32yrs 4 months,13,27.92,604095,4,0.87,Bachelors,6.27,1,0,0,0,0
2509,61,39,unemployed,752231,0,0.05,12th or less,0.0,1,1,1,0,1
2510,31,12,22.44,450648,0,0.15,Post Graduate,19.11,1,0,0,1,1
2511,65yrs 3 months,46,22.43,955027,4,0.1,Bachelors,25.57,0,0,1,0,0
2512,45yrs,27,44.87,488829,1,0.27,Bachelors,31.31,1,0,0,0,0
2513,43,24,16.87,565140,1,0.5,Bachelors,20.44,1,1,1,0,0
2514,54,34,39.89,353064,2,0.75,12th or less,16.42,0,1,1,1,1
2515,35yrs,14,42.4,416721,5,0.76,12th or less,33.13,1,0,1,0,1
2516,63yrs 4 months,,53.16,453397,3,1.1,Post Graduate,20.47,1,0,1,0,0
2517,23,2,29.15,735260,0,0.17,Bachelors,18.77,1,0,0,0,0
2518,34,16,21.61,113782,2,0.31,12th or less,15.75,0,1,0,1,0
2519,40yrs 11 months,18,11.46,262622,2,0.33,Bachelors,1.76,1,0,0,0,1
2520,46yrs,25,18.75,310640,4,0.24,Post Graduate,4.9,1,1,1,0,0
2521,64yrs 7 months,45,33.03,374006,1,0.62,Bachelors,17.79,1,n/a,0,1,1
2522,57,n/a,10.12,681972,5,0.17,Bachelors,6.88,1,0,1,1,1
2523,24yrs 4 months,6,Rs 17 lacs,202108,0,0.05,12th or less,0.0,0,n/a,1,0,1
2524,60,42,20.17,717098,1,0.31,12th or less,7.56,0,1,0,1,1
2525,55yrs,34,69.28,997102,1,0.69,12th or less,14.65,1,n/a,1,0,0
2526,43yrs 4 months,n/a,Rs 51 lacs,330228,3,0.05,Bachelors,0.0,0,0,0,1,1
2527,45,25,19.29,929061,2,0.19,Bachelors,24.86,1,1,1,1,1
2528,56,34,25.32,592291,1,0.37,Bachelors,25.29,1,0,1,1,0
2529,33yrs 2 months,15,12.28,193102,4,0.41,12th or less,14.26,1,1,1,0,1
2530,48yrs,30,11.09,600168,5,0.17,12th or less,7.19,0,1,1,0,1
2531,30,12,51.14,230255,2,1.24,Post Graduate,56.31,1,0,1,0,0
2532,33,12,unemployed,976620,0,0.05,Bachelors,0.0,0,1,1,1,0
2533,64yrs,46,11.82,405953,1,0.28,Post Graduate,14.96,1,1,1,0,1
2534,23yrs 4 months,4,n/a,247062,1,0.05,12th or less,0.0,1,1,1,0,1
2535,39yrs,17,38.54,980005,4,0.55,Bachelors,24.85,1,1,0,0,1
2536,38yrs,19,17.25,361945,1,0.34,Post Graduate,6.46,0,1,1,0,1
2537,63yrs,n/a,n/a,123930,4,0.05,Bachelors,0.0,1,0,0,1,1
2538,58yrs 9 months,,36.04,267765,2,1.01,Post Graduate,22.99,1,1,0,0,0
2539,40yrs,21,20.2,107629,0,0.33,Bachelors,20.88,1,0,1,0,1
2540,33yrs,n/a,39.54,424701,0,0.59,Post Graduate,25.32,0,0,1,0,0
2541,22,1,unemployed,929520,3,0.05,12th or less,0.0,0,1,0,1,1
2542,32yrs,,unemployed,110256,3,0.05,Bachelors,0.0,1,1,0,1,0
2543,27yrs,9,59.77,943903,1,0.87,Bachelors,70.54,1,1,0,1,0
2544,22,1,38.98,866418,0,0.17,12th or less,7.84,1,0,0,0,1
2545,41yrs 5 months,19,12.22,565541,3,0.22,Bachelors,10.46,1,0,1,1,0
2546,56yrs,35,10.55,609266,1,0.3,Post Graduate,7.91,0,1,0,1,1
2547,58,40,20.31,204905,10,0.54,Bachelors,27.285,0,0,1,0,0
2548,63yrs,43,8.06,956969,0,0.15,Post Graduate,9.77,0,1,1,1,1
2549,29,8,15.02,332239,1,0.43,12th or less,9.15,1,1,0,0,0
2550,47,29,29.34,730576,1,0.4,12th or less,23.09,1,0,1,1,0
2551,31yrs 9 months,10,103.16,598604,1,1.51,12th or less,19.91,1,0,1,0,1
2552,45,25,20.78,747147,5,0.59,Bachelors,21.78,0,0,1,0,1
2553,47,28,13.3,772090,0,0.43,Post Graduate,5.1,1,1,1,0,0
2554,47yrs,25,24.23,378525,5,0.61,Post Graduate,13.96,1,0,0,1,0
2555,25yrs,3,15.53,576045,5,0.47,Post Graduate,18.46,1,0,1,1,1
2556,37yrs,n/a,15.63,834780,0,0.13,Post Graduate,20.12,0,1,0,1,1
2557,44,24,65.83,350855,0,10.65,12th or less,58.22,1,0,0,1,1
2558,22yrs 9 months,0,113.78,962865,4,1.85,Bachelors,72.25,1,1,1,1,0
2559,59yrs 8 months,41,46.1,518058,3,0.38,Post Graduate,39.42,1,0,0,0,0
2560,47yrs 6 months,29,unemployed,780931,2,0.05,12th or less,0.0,1,1,0,1,1
2561,39yrs,19,7.92,165115,10,0.25,Bachelors,8.05,1,1,1,0,0
2562,41yrs 4 months,22,26.57,214338,0,0.83,12th or less,12.23,1,1,1,0,0
2563,27,5,11.16,514084,3,0.21,12th or less,9.5,1,1,1,1,1
2564,34yrs,14,28.21,149098,3,0.14,Bachelors,20.12,1,0,1,1,0
2565,33,11,21.6,854141,4,0.56,Post Graduate,26.64,0,0,1,0,0
2566,26yrs 2 months,7,12.52,202537,2,0.21,Bachelors,8.56,1,0,0,1,0
2567,50,n/a,32.68,127153,2,1.01,Bachelors,41.12,1,0,0,0,1
2568,58,n/a,69.08,494538,1,1.68,Bachelors,14.31,1,1,0,0,1
2569,35yrs,17,55.04,655386,3,1.1,12th or less,62.58,1,0,0,1,1
2570,44yrs,26,10.67,627169,10,0.13,Bachelors,8.56,1,1,1,0,1
2571,31,10,22.16,818943,4,0.13,Bachelors,4.5,1,0,1,0,1
2572,47yrs 6 months,29,26.83,418963,0,0.74,Bachelors,21.26,1,1,1,0,0
2573,52yrs 11 months,32,12.64,671923,5,0.27,Post Graduate,7.8,0,0,1,1,0
2574,53yrs 2 months,33,34.42,418013,4,0.47,Bachelors,21.9,1,0,1,1,0
2575,52,30,27.69,702531,1,0.22,Post Graduate,28.6,0,0,0,1,1
2576,32yrs 3 months,10,43.66,308866,4,0.73,12th or less,8.68,1,0,0,0,0
2577,59,41,21.16,587172,2,0.11,12th or less,6.96,1,0,0,0,0
2578,41yrs,23,18.93,383071,2,0.61,Post Graduate,14.1,1,1,0,0,1
2579,45yrs,27,4.8,965056,5,0.1,Bachelors,5.2,0,1,0,0,0
2580,43,23,25.48,265536,4,0.73,Bachelors,17.53,1,1,0,1,0
2581,50yrs 7 months,31,20.97,682179,1,0.64,Bachelors,6.37,1,0,0,0,1
2582,38yrs,,18.84,735550,4,0.24,Bachelors,8.73,1,1,0,0,1
2583,46,26,25.45,626998,2,0.33,Bachelors,9.83,1,0,0,1,1
