sentence,abbreviation,expansion
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
Assessment showed antiplatelet; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
The TIA indicated stroke and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as weakness plus stroke were documented.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus weakness were documented.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and weakness when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus stroke were documented.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and weakness when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated weakness and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus antiplatelet were documented.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus weakness were documented.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and stroke when referring to TIA.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and weakness when referring to TIA.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
Assessment showed antiplatelet; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and weakness when referring to TIA.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
The TIA indicated weakness and neurologic during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus weakness were documented.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus stroke were documented.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and stroke when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus antiplatelet were documented.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus neurologic were documented.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus weakness were documented.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
The TIA indicated stroke and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus antiplatelet were documented.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus stroke were documented.,TIA,Transient Ischemic Attack
The TIA indicated neurologic and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of weakness.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus stroke were documented.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus weakness were documented.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
The TIA indicated weakness and stroke during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus weakness were documented.,TIA,Transient Ischemic Attack
TIA related findings such as weakness plus neurologic were documented.,TIA,Transient Ischemic Attack
The TIA indicated neurologic and stroke during evaluation.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and weakness when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and stroke when referring to TIA.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
Assessment showed antiplatelet; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
The TIA indicated weakness and neurologic during evaluation.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of weakness.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus weakness were documented.,TIA,Transient Ischemic Attack
stroke was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
The TIA indicated stroke and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus weakness were documented.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus weakness were documented.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus neurologic were documented.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed antiplatelet; TIA signified presence of weakness.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus stroke were documented.,TIA,Transient Ischemic Attack
The TIA indicated stroke and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
The TIA indicated weakness and neurologic during evaluation.,TIA,Transient Ischemic Attack
The TIA indicated stroke and neurologic during evaluation.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
The TIA indicated neurologic and antiplatelet during evaluation.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus antiplatelet were documented.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated neurologic and weakness during evaluation.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and stroke during evaluation.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
neurologic was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
stroke was noted near the TIA context along with antiplatelet.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and weakness when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed neurologic and stroke when referring to TIA.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated stroke and weakness during evaluation.,TIA,Transient Ischemic Attack
antiplatelet was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
TIA related findings such as stroke plus antiplatelet were documented.,TIA,Transient Ischemic Attack
The TIA indicated weakness and stroke during evaluation.,TIA,Transient Ischemic Attack
The TIA indicated weakness and neurologic during evaluation.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and neurologic when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed weakness and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of antiplatelet.,TIA,Transient Ischemic Attack
TIA related findings such as weakness plus stroke were documented.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and weakness during evaluation.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
stroke was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
The TIA indicated antiplatelet and stroke during evaluation.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with stroke.,TIA,Transient Ischemic Attack
stroke was noted near the TIA context along with weakness.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of weakness.,TIA,Transient Ischemic Attack
weakness was noted near the TIA context along with neurologic.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed stroke; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus stroke were documented.,TIA,Transient Ischemic Attack
Clinicians discussed stroke and antiplatelet when referring to TIA.,TIA,Transient Ischemic Attack
Assessment showed neurologic; TIA signified presence of stroke.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus stroke were documented.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus weakness were documented.,TIA,Transient Ischemic Attack
The TIA indicated weakness and neurologic during evaluation.,TIA,Transient Ischemic Attack
Assessment showed weakness; TIA signified presence of neurologic.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus neurologic were documented.,TIA,Transient Ischemic Attack
TIA related findings such as antiplatelet plus stroke were documented.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and stroke when referring to TIA.,TIA,Transient Ischemic Attack
Clinicians discussed antiplatelet and stroke when referring to TIA.,TIA,Transient Ischemic Attack
TIA related findings such as weakness plus neurologic were documented.,TIA,Transient Ischemic Attack
TIA related findings such as neurologic plus stroke were documented.,TIA,Transient Ischemic Attack
The TIA indicated management and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of protocol.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus management were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with decision.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as protocol plus management were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and management during evaluation.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus management were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of protocol.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus management were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and management when referring to TIA.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with decision.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed protocol and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and protocol during evaluation.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus management were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as protocol plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
The TIA indicated management and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as protocol plus decision were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus decision were documented.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus decision were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of protocol.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of protocol.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of management.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of management.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus decision were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
protocol was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated management and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as protocol plus management were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed decision; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus decision were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus management were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed guideline and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed protocol and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and management when referring to TIA.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and protocol during evaluation.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed protocol and decision when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of protocol.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with management.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus protocol were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and management during evaluation.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
guideline was noted near the TIA context along with decision.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as protocol plus decision were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed decision; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed decision and management when referring to TIA.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with decision.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
The TIA indicated protocol and decision during evaluation.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed protocol and management when referring to TIA.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with protocol.,TIA,Therapeutic Intervention Algorithm
management was noted near the TIA context along with decision.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and protocol when referring to TIA.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed management and guideline when referring to TIA.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as management plus decision were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of management.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus management were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated decision and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as guideline plus management were documented.,TIA,Therapeutic Intervention Algorithm
The TIA indicated guideline and management during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
decision was noted near the TIA context along with guideline.,TIA,Therapeutic Intervention Algorithm
Assessment showed guideline; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
Assessment showed protocol; TIA signified presence of guideline.,TIA,Therapeutic Intervention Algorithm
The TIA indicated management and guideline during evaluation.,TIA,Therapeutic Intervention Algorithm
The TIA indicated management and protocol during evaluation.,TIA,Therapeutic Intervention Algorithm
TIA related findings such as decision plus guideline were documented.,TIA,Therapeutic Intervention Algorithm
Assessment showed management; TIA signified presence of decision.,TIA,Therapeutic Intervention Algorithm
Clinicians discussed graft and pump when referring to CABG.,CABG,Coronary Artery Bypass Graft
CABG related findings such as sternotomy plus pump were documented.,CABG,Coronary Artery Bypass Graft
Clinicians discussed sternotomy and graft when referring to CABG.,CABG,Coronary Artery Bypass Graft
The CABG indicated revascularization and sternotomy during evaluation.,CABG,Coronary Artery Bypass Graft
sternotomy was noted near the CABG context along with graft.,CABG,Coronary Artery Bypass Graft
sternotomy was noted near the CABG context along with graft.,CABG,Coronary Artery Bypass Graft
revascularization was noted near the CABG context along with pump.,CABG,Coronary Artery Bypass Graft
CABG related findings such as revascularization plus graft were documented.,CABG,Coronary Artery Bypass Graft
Clinicians discussed pump and revascularization when referring to CABG.,CABG,Coronary Artery Bypass Graft
sternotomy was noted near the CABG context along with pump.,CABG,Coronary Artery Bypass Graft
Assessment showed graft; CABG signified presence of revascularization.,CABG,Coronary Artery Bypass Graft
The CABG indicated revascularization and pump during evaluation.,CABG,Coronary Artery Bypass Graft
Clinicians discussed graft and revascularization when referring to CABG.,CABG,Coronary Artery Bypass Graft
Clinicians discussed graft and pump when referring to CABG.,CABG,Coronary Artery Bypass Graft
graft was noted near the CABG context along with sternotomy.,CABG,Coronary Artery Bypass Graft
CABG related findings such as revascularization plus pump were documented.,CABG,Coronary Artery Bypass Graft
revascularization was noted near the CABG context along with graft.,CABG,Coronary Artery Bypass Graft
revascularization was noted near the CABG context along with pump.,CABG,Coronary Artery Bypass Graft
CABG related findings such as graft plus pump were documented.,CABG,Coronary Artery Bypass Graft
Clinicians discussed graft and sternotomy when referring to CABG.,CABG,Coronary Artery Bypass Graft
sternotomy was noted near the CABG context along with graft.,CABG,Coronary Artery Bypass Graft
pump was noted near the CABG context along with revascularization.,CABG,Coronary Artery Bypass Graft
Assessment showed revascularization; CABG signified presence of graft.,CABG,Coronary Artery Bypass Graft
CABG related findings such as sternotomy plus revascularization were documented.,CABG,Coronary Artery Bypass Graft
The CABG indicated revascularization and graft during evaluation.,CABG,Coronary Artery Bypass Graft
The CABG indicated sternotomy and revascularization during evaluation.,CABG,Coronary Artery Bypass Graft
CABG related findings such as sternotomy plus revascularization were documented.,CABG,Coronary Artery Bypass Graft
Clinicians discussed graft and pump when referring to CABG.,CABG,Coronary Artery Bypass Graft
The CABG indicated revascularization and sternotomy during evaluation.,CABG,Coronary Artery Bypass Graft
CABG related findings such as revascularization plus pump were documented.,CABG,Coronary Artery Bypass Graft
The CABG indicated pump and sternotomy during evaluation.,CABG,Coronary Artery Bypass Graft
Clinicians discussed pump and graft when referring to CABG.,CABG,Coronary Artery Bypass Graft
